Company Name,Industry,Symbol,Series,ISIN Code
Morgan Stanley,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Goldman Sachs,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
J.P. Morgan,Consumer Durables,CELLO,EQ,INE0LMW01024
Citigroup,Financial Services,CENTRALBK,EQ,INE483A01010
Bank of America,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
UBS,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Credit Suisse,Consumer Durables,CELLO,EQ,INE0LMW01024
Barclays Capital,Financial Services,CENTRALBK,EQ,INE483A01010
Deutsche Bank,Consumer Durables,CELLO,EQ,INE0LMW01024
HSBC Global Research,Financial Services,CENTRALBK,EQ,INE483A01010
Nomura,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Macquarie Capital,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Jefferies,Consumer Durables,CELLO,EQ,INE0LMW01024
RBC Capital Markets (Royal Bank of Canada),Financial Services,CENTRALBK,EQ,INE483A01010
BNP Paribas,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Societe Generale,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Wells Fargo Securities,Consumer Durables,CELLO,EQ,INE0LMW01024
BMO Capital Markets,Financial Services,CENTRALBK,EQ,INE483A01010
Canaccord Genuity,Consumer Durables,CELLO,EQ,INE0LMW01024
Mizuho Securities,Financial Services,CENTRALBK,EQ,INE483A01010
ICICI Securities,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
HDFC Securities,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Kotak Securities,Consumer Durables,CELLO,EQ,INE0LMW01024
Motilal Oswal,Financial Services,CENTRALBK,EQ,INE483A01010
Axis Securities,Consumer Durables,CELLO,EQ,INE0LMW01024
IIFL (India Infoline),Financial Services,CENTRALBK,EQ,INE483A01010
Angel One,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Edelweiss Securities,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Geojit Financial,Consumer Durables,CELLO,EQ,INE0LMW01024
Sharekhan,Financial Services,CENTRALBK,EQ,INE483A01010
SBICAP Securities,Consumer Durables,CELLO,EQ,INE0LMW01024
JM Financial,Financial Services,CENTRALBK,EQ,INE483A01010
KRChoksey,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Prabhudas Lilladher,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Yes Securities,Consumer Durables,CELLO,EQ,INE0LMW01024
